date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:31:17	0/-1	---M--	301	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/crrr	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/crrr.cc.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/content-removal-requests-report?activetab=pivot_1%3aprimaryr7)
21:31:17	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/GET.cd.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/content-removal-requests-report?activetab=pivot_1%3aprimaryr7)
21:31:17	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/GET.ce.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/human-rights-statement?activetab=pivot_1%3aprimaryr5)
21:31:17	208/208	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Mon,%2029%20Nov%202021%2005:31:17%20GMT	https://www.microsoft.com/en-us/corporate-responsibility/fisa	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/fisa	(from https://www.microsoft.com/en-us/corporate-responsibility/us-national-security-orders-report?activetab=pivot_1%3aprimaryr2)
21:31:18	208/208	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Mon,%2029%20Nov%202021%2005:31:17%20GMT	https://www.microsoft.com/en-us/corporate-responsibility/fisa	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/fisa	(from https://www.microsoft.com/en-us/corporate-responsibility/us-national-security-orders-report?activetab=pivot_1%3aprimaryr2)
21:31:18	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/GET.d1.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/us-national-security-orders-report?activetab=pivot_1%3aprimaryr2)
21:31:18	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/GET.d2.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/digital-safety-content-report?rtc=1&activetab=pivot_1%3aprimaryr3)
21:31:18	227456/227456	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Nov%202021%2005:31:18%20GMT	https://www.microsoft.com/en-us/corporate-responsibility/digital-safety-content-report?rtc=1&activetab=pivot_1%3aprimaryr4	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/digital-safety-content-report3abb.html	(from https://www.microsoft.com/en-us/corporate-responsibility/digital-safety-content-report?rtc=1&activetab=pivot_1%3aprimaryr3)
21:31:18	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/GET.d5.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/digital-safety-content-report?rtc=1&activetab=pivot_1:primaryr4)
21:31:18	227456/227456	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Nov%202021%2005:31:18%20GMT	https://www.microsoft.com/en-us/corporate-responsibility/digital-safety-content-report?rtc=1&activetab=pivot_1%3aprimaryr5	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/digital-safety-content-report82dc.html	(from https://www.microsoft.com/en-us/corporate-responsibility/digital-safety-content-report?rtc=1&activetab=pivot_1%3aprimaryr3)
21:31:19	208/208	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Mon,%2029%20Nov%202021%2005:31:18%20GMT	https://www.microsoft.com/en-us/corporate-responsibility/fisa	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/fisa.d6.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/us-national-security-orders-report?activetab=pivot_1%3aprimaryr3)
21:31:19	0/-1	---M--	301	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/fisa	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/fisa.d7.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/us-national-security-orders-report?activetab=pivot_1%3aprimaryr3)
21:31:19	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/GET.d8.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/us-national-security-orders-report?activetab=pivot_1%3aprimaryr3)
21:31:19	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/GET.d9.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/justice-reform-initiative)
21:31:20	221241/221241	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Nov%202021%2005:31:20%20GMT	https://www.microsoft.com/en-us/corporate-responsibility/justice-reform-initiative?activetab=pivot_1%3aprimaryr4	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/justice-reform-initiative79b1.html	(from https://www.microsoft.com/en-us/corporate-responsibility/justice-reform-initiative)
21:31:20	221241/221241	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Nov%202021%2005:31:20%20GMT	https://www.microsoft.com/en-us/corporate-responsibility/justice-reform-initiative?activetab=pivot_1%3aprimaryr5	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/justice-reform-initiativeeffb.html	(from https://www.microsoft.com/en-us/corporate-responsibility/justice-reform-initiative)
21:31:20	221243/221243	---M-Z	200	added ('OK')	text/html	date:Mon,%2029%20Nov%202021%2005:31:20%20GMT	https://www.microsoft.com/en-us/corporate-responsibility/justice-reform-initiative?activetab=pivot_1%3aprimaryr6	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/justice-reform-initiative082c.html	(from https://www.microsoft.com/en-us/corporate-responsibility/justice-reform-initiative)
21:31:21	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2029%20Nov%202021%2005:31:21%20GMT	https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET.de.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/resources?activetab=pivot_1%3aprimaryr3)
